,mval_ 0,mval_ 1,mval_ 2,mval_ 3,mval_ 4,mval_ 5,mval_ 6,mval_ 7,mval_ 8,mval_ 9,mval_10,mval_11,mval_12,mval_13,mval_14,mval_15,mval_16,mval_17,mval_18,mval_19,mval_20,mval_21,mval_22,mval_23,mval_24,mval_25,mval_26,mval_27,mval_28,mval_29,mval_30,mval_31,mval_32,mval_33,mval_34,mval_35,mval_36,mval_37,mval_38,mval_39,mval_40,mval_41,mval_42,mval_43,mval_44,mval_45,mval_46
21,2121.78517441,2070.11706935,3579.44985856,2127.917777,2047.27326131,1958.94683549,38490.1696991,3490.12347058,2121.32967973,-252598.859885,86869.7954672,6117997.81633,-30553.4387333,2088.95882097,1998.74409513,1996.19694815,2024.15888955,1995.30188484,2014.50136389,1939.10793146,1990.69338443,2063.11534566,2148.46089024,2036.60415256,-1318693.89338,-74333.0718848,-181999.753282,-12985910.5742,-2543494.69877,2058.3518925,2086.15060415,2149.65574319,2076.21030735,2043.37517706,-222872.091295,-233798.441793,62768.9915512,824071.045526,2035.61345432,2048.11776008,2000.86763631,2069.46605887,2104.36277466,2123.04795896,2032.81846757,1986.98461961,2006.6023324
22,2057.2515959,2052.28032835,3578.95867736,2082.71234117,2045.77194129,2021.10204373,38875.0938152,3524.94639217,2105.55291764,-103066.729868,117735.182667,-64753.7030131,-32171.148531,2108.93356804,2023.07923234,2060.96278235,2000.15012218,1994.10581257,2009.45578651,1940.49543801,2028.05991313,2105.43477331,2111.57413359,2070.70309192,-72661.5608452,-17649.6809735,-5258388.36048,-2837921.49126,-490151.437313,2071.04187993,2064.17397869,2161.57556252,2148.43634104,2053.07295823,-107456.081738,440751.03911,-2681427.53552,-4345836.16493,2039.9483017,2007.48697358,2019.56591159,2067.2237891,2116.93878628,2071.85121663,1953.59618712,1910.78520808,1992.03921744
23,2032.73924919,2056.61403898,3489.53190714,2066.84123227,2034.49485838,2078.01639672,39623.3483199,3565.17388833,2102.59832586,-122208.483101,-21094.6187588,305495.451476,-37311.1948904,2090.47488839,2063.59618849,2090.87720937,2010.02316275,1999.43628615,2027.12050127,1986.18599008,2054.12198961,2047.0722257,2015.83101727,2085.45693917,-69674.3469814,228881.392157,-69648.0841071,-257266.492681,-178137.281733,2077.62465299,2091.83067643,2127.50690118,2125.72724058,2027.18785921,106045.412494,608736.47687,-154605.67317,13355.3215616,2110.93370086,1986.91847136,2061.71764632,2065.82536471,2106.63906323,2055.73912144,1988.89238463,2006.37461025,2106.77761348
24,2061.92180633,2105.12622198,3463.82086317,2103.12042155,2099.87311435,2025.86578996,38184.8267029,3467.33113938,2072.64085787,-357493.554379,490541.311963,206334.889287,-37558.8354637,1999.11276224,2045.4335251,2049.7040707,2001.60264378,2018.23663578,1977.24535244,2000.26848273,2039.97841495,2048.13149628,2059.59019402,2035.57244629,-207237.041884,-148114.665417,465997.573289,770566.475178,-20726447.8824,2081.29522324,2137.51199086,2111.88511997,2063.88996289,2063.07180589,47541.9960845,161117.226173,-130289.297705,-138080.831312,2082.90498568,1980.76736816,2012.41918467,2026.51616667,2028.25338971,2089.807919,2068.04470236,2147.93004651,2163.00673218
25,2045.28353418,2111.64731614,3474.71612979,2085.23567472,2100.24064686,1996.51280963,37468.0068772,3474.45321562,2077.16501371,-139127.862189,-146732.545912,-125646.388182,-35718.7744488,2085.22249109,2032.22346474,2056.53968144,2025.51824159,2049.75407642,2000.54582116,1978.79579495,2050.53493648,2055.00523532,2090.23698909,2053.4783271,445477.404699,-8260.84509229,215344.904131,16539.432534,305735.131215,2142.0085867,2161.448905,2092.10406822,2090.11788315,2125.29769601,47320.8706394,1258259.23462,-82408.2701631,-149153.788889,1996.68110247,1996.94000957,1956.52966512,1973.46062267,2050.03909432,2099.57269175,2077.95064582,2115.95132079,2146.03541435
26,2066.54052556,2086.69560895,3435.96823901,2092.69041003,2021.47629176,1968.9809002,37842.8510437,3490.06524377,2072.32582169,-22791.4390799,325898.802826,-449972.782824,-34049.6082325,2177.35022963,1992.30797128,2050.1649098,2048.39248417,2025.05054068,2026.27439126,1962.56056836,2055.01057666,2022.65427976,2072.75855797,2104.28855195,108708.277409,25340.3017909,-52113.5160041,-106502.724215,-102350.508302,2130.15191768,2113.34463526,2089.65687251,2055.28491684,2129.58551148,102015.162642,-72889.2612282,-150442.092818,285546.214934,2008.88563242,2028.3383293,2007.14171284,2002.87740327,2067.38207815,2082.11908821,2065.29053074,2034.96753518,2100.251739
27,2058.90503382,2115.78638885,3397.81318737,2130.91590808,2082.57764176,1999.94776536,37629.457897,3470.4421681,2077.33610788,98326.4869811,-95026984.7339,-90088.4996454,-36270.7334779,2111.24113488,2019.80724252,2072.14252158,2021.38298894,1975.86520226,2048.1794277,1977.66652172,2036.6736846,2038.97500765,2113.85169662,2103.09516797,177235.905158,-1902490.27347,-185819.29756,-13005.6900313,240509.110479,2106.0009764,2079.8089342,2100.86847911,2041.89080044,2130.05582728,437492.103987,-200093.247948,125024.314745,-120806.8057,1999.82256439,2047.0906679,2054.45012677,2080.6089492,2068.70095787,2049.83872315,2067.64574022,2025.00291012,2068.58709365
28,2065.49109332,2088.28883686,3431.26765525,2110.42215864,2054.15984571,2020.83402074,37239.8987025,3472.28921827,2073.68423352,2832985.19354,-15192.0940316,-262781.803866,290252.096224,2041.42389248,2071.65454167,2043.99382341,1993.36699752,1957.71399109,2059.96301624,1954.86521944,2030.75175971,2047.5929076,2137.78688261,2044.60596011,-172236.591495,1162.08492975,-516008.972153,253566.543358,422848.059305,2070.74519334,2140.62626526,2097.62026675,2058.25338108,2093.33266811,155991.798436,-134650.001135,110007.349795,-68196.7819513,1967.91796757,2026.80972261,2038.18779928,2098.29527947,2012.52636718,1999.44575785,2076.82812348,2009.30842202,2108.89878799
29,2077.86082039,2046.92479459,3546.07880943,2085.53295421,2000.9825324,2040.4588822,37871.9115382,3449.68053091,2086.88980332,-12935.7381656,310069.797711,-1764372.94925,-115905.964647,2003.19878497,1991.02225885,2067.96079523,1958.20520346,1976.50877827,2053.71291227,1994.20657859,2058.05321388,2077.87555212,2109.32034241,2050.68636103,-150182.154972,25492.43863,378644.095517,380368.055113,277507.448688,2078.53038882,2202.80898547,2107.79225151,2027.55800447,2041.59439973,1771634.9551,-257533.083531,-311935.766071,18107203.9373,1975.04086843,1986.5084348,2004.61286361,2027.47591797,1982.63056235,2051.78375933,2105.28779212,2004.04321168,2098.24508034
30,2041.09899969,2038.18906585,3603.14628167,2053.82473217,2016.63714356,2051.63176223,38192.9883724,3465.32788331,2082.04668721,-72448.2194135,109949.772299,122451.179669,-27127.4305406,2021.53633917,2001.0229252,2090.0721008,1955.92205896,2035.21616052,2052.63001903,2032.20182596,2101.73213535,2079.19441025,2116.56555553,2087.45681046,-71193.1248363,-2342328.08063,162737.339954,-394733.914954,-100074.661915,2135.15651375,2139.4501603,2048.98188417,2027.65535467,2035.90060504,-145337.719723,137250.023805,119709.28237,-73635.926852,1998.8446557,2016.91510815,1974.48920445,2010.34637958,2072.23035591,2102.59746343,2106.71063491,1992.18657052,2020.07539829
